state,x,y
Abia,-50,-183
Adamawa,190,22
Akwa Ibom,-44,-225
Anambra,-92.0,-153.0
Bauchi,57.0,75.0
Bayelsa,-146.0,-233.0
Benue,6.0,-94.0
Borno,209.0,150.0
Cross River,-8.0,-179.0
Delta,-161.0,-189.0
Ebonyi,-31.0,-147.0
Edo,-132.0,-121.0
Ekiti,-179.0,-72.0
Enugu,-66.0,-134.0
Gombe,128.0,76.0
Imo,-90.0,-191.0
Jigawa,45.0,177.0
Kaduna,-54.0,74.0
Kano,-12.0,148.0
Katsina,-73.0,197.0
Kebbi,-247.0,151.0
Kogi,-130.0,-64.0
Kwara,-221.0,-16.0
Lagos,-280.0,-137.0
Nassarawa,-56.0,-37.0
Niger,-187.0,37.0
Ogun,-302.0,-107.0
Ondo,-209.0,-109.0
Osun,-238.0,-77.0
Oyo,-288.0,-39.0
Plateau,21.0,8.0
Rivers,-103.0,-238.0
Sokoto,-212.0,228.0
Taraba,70.0,-57.0
Yobe,122.0,186.0
Zamfara,-180.0,158.0
Fct,-90.0,-14.0
